Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 7 - Indicadores de Receita Nominal de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Maio 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,MAR,ABR,MAI,MAR,ABR,MAI,JAN-MAR,JAN-ABR,JAN-MAI,Até MAR,Até ABR,Até MAI
Brasil ,7.4,1,0.4,19.3,22.3,17,14.9,16.8,16.8,15.1,14.5,13.6
Rondônia,2.4,2.4,-0.9,17.9,19.7,11.5,16.1,17,15.7,16.8,14.3,12.2
Acre,1.5,4.4,-1.3,12.4,19.2,10.3,13.3,14.8,13.7,14.9,13.5,11.2
Amazonas,0.6,3,0.1,2.4,7.5,4.8,20.9,17.1,14.1,14.7,11.5,8.5
Roraima,4.9,-1.9,3.9,24.9,24.4,27.2,25.5,25.2,25.7,21.6,20.3,19.8
Pará,1.9,2.7,1.8,27,21.2,16.9,19.3,19.8,19.1,18.7,17,14.7
Amapá,5.2,0.7,2.6,32.9,20.9,4.3,16.3,17.5,14.3,21,17.8,12.3
Tocantins,0.2,3.7,-0.4,18.6,15.6,11.7,14.4,14.7,14.1,7.7,8.3,8.8
Maranhão,3.3,1.8,1.5,16.9,19.7,16.8,13.1,14.8,15.2,10.1,9.1,8.1
Piauí,3.5,4.9,-1.3,19.6,28.4,19.8,13.3,17,17.6,20.7,19.5,17.4
Ceará,-1,3.7,1.3,32.6,34.2,22,18,22,22,12.3,12.7,11.8
Rio Grande do Norte,4.1,4.6,0.5,16.2,25.6,17.9,11.3,14.9,15.5,13.8,13.6,13
Paraíba,4.3,2.2,0.6,14.3,21.6,16.4,9.6,12.6,13.4,8.6,8.3,8
Pernambuco,11.5,-7.7,2.7,16.6,9.4,9.2,9.1,9.2,9.2,12.5,10.2,8.3
Alagoas,4,5.5,3.4,17.7,33.1,27.3,15.4,19.7,21.3,13,13.3,13.3
Sergipe,4.4,3.9,3,11.4,25.7,19.8,7.8,12.1,13.7,9,8.9,8.7
Bahia,0.9,1.5,2.2,21.4,14.8,11.8,14.8,14.8,14.1,14.6,12.8,10.8
Minas Gerais,4.4,1.9,2.5,19.5,24.1,21.5,13.2,15.9,17.1,15,14.5,14.3
Espírito Santo,3.4,1.5,1.1,24.6,33.3,24.5,21.8,24.7,24.6,20.5,20.5,20.5
Rio de Janeiro,1.4,1.1,1.7,9.7,15.3,11.6,10.2,11.5,11.5,10.3,9.3,8.3
São Paulo,4.9,0,1,16.7,21.7,15.7,13.2,15.3,15.4,14.8,14.1,13.1
Paraná,3.1,0.9,1.2,20.7,24.6,17.5,16.5,18.5,18.3,16.1,15.8,15.7
Santa Catarina,4.3,2.3,2.5,22.8,25,20,19.1,20.6,20.5,18.1,17.9,17.9
Rio Grande do Sul,12.9,2.7,1.5,30.4,27.2,20,22.4,23.8,22.9,21.4,20.8,20
Mato Grosso do Sul,4.9,1.9,3.7,25.1,27.2,26.5,21.5,22.9,23.7,22.5,21.9,22
Mato Grosso,9.2,0.1,1.1,28.2,33.1,24.4,23.8,26.1,25.8,18.2,19,19.7
Goiás,11.5,-2.2,-1.6,25.5,19.1,14.2,14.9,16,15.6,14.5,13.4,12.5
Distrito Federal,1.9,2.1,2,35.3,26.6,21.5,19.8,21.6,21.5,13.8,13.9,13.2
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
