Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 8 - Indicadores de Receita Nominal de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Janeiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,NOV,DEZ,JAN,NOV,DEZ,JAN,JAN-NOV,JAN-DEZ,JAN-JAN,Até NOV,Até DEZ,Até JAN
Brasil ,1,0.6,1.2,11.2,10.4,12,18.9,18,12,18.2,18,18.4
Rondônia,1.2,-1.3,2.4,4,7.7,16.5,22.6,21,16.5,21.9,21,22.2
Acre,-1.7,-3.6,2.6,-0.5,0.8,5,17.4,15.6,5,17,15.6,15.5
Amazonas,3.2,2.6,-10.5,4.1,5.8,42.8,12.6,11.8,42.8,13.4,11.8,16.2
Roraima,2.7,1.3,3.3,21.7,19.2,22.7,25.7,25,22.7,25.6,25,25.4
Pará,-1.3,-0.7,2.7,9.3,9.6,14.1,22.2,20.7,14.1,22.3,20.7,20.6
Amapá,1.6,-3,-2.6,10,1.2,1,22,19.5,1,21.8,19.5,18.2
Tocantins,-4.5,5.9,-0.9,14,27.6,14.7,13.8,15.1,14.7,12.7,15.1,15.5
Maranhão,0.4,0.1,1.1,3.8,6.5,7.3,17,15.8,7.3,17.6,15.8,15.1
Piauí,-1.6,-0.2,0.7,9.5,7.6,12.5,29,26.5,12.5,28.5,26.5,26.6
Ceará,1.7,-2.3,1.8,17.1,12,17.8,21.4,20.3,17.8,20.4,20.3,21.6
Rio Grande do Norte,-1,3,-0.9,8.5,11.3,7.7,17.5,16.9,7.7,17.1,16.9,16.8
Paraíba,-4.1,-0.8,3.9,5.9,2.5,6.8,16,14.5,6.8,15.7,14.5,14.4
Pernambuco,0.2,-1.7,4.7,21.6,19,26.9,30.3,29,26.9,28.9,29,30.3
Alagoas,-4.6,-3.2,5.2,7.6,6,12,18.8,17.4,12,18.3,17.4,17.8
Sergipe,-0.6,-2,5.7,9.6,5.5,12.3,19.2,17.7,12.3,18.8,17.7,17.9
Bahia,-0.8,-2,5.6,13.2,9.9,20.1,22.4,21,20.1,20.1,21,22.4
Minas Gerais,1.2,-1.8,0.6,12.2,13.3,6.8,20,19.3,6.8,19.6,19.3,18.3
Espírito Santo,0.2,3.7,1.5,18.7,23,17.9,27.6,27.1,17.9,26.8,27.1,27.5
Rio de Janeiro,2.5,-1,2.2,7.4,5.4,8.8,13.9,13,8.8,13.1,13,13.4
São Paulo,1.9,-0.2,0.6,6.7,6.2,7.1,16.3,15.2,7.1,15.9,15.2,15.2
Paraná,2.3,0.6,2.3,12.7,10.2,12.1,18,17.1,12.1,17.3,17.1,17.5
Santa Catarina,1.7,0.6,2.6,20,19.5,21,25.3,24.7,21,24.1,24.7,25.5
Rio Grande do Sul,-0.9,0,-0.2,15.9,14.7,12.7,18.7,18.3,12.7,17,18.3,19.5
Mato Grosso do Sul,1.4,0.4,0.9,22.3,22.3,23.5,27.1,26.6,23.5,26.2,26.6,27.6
Mato Grosso,-0.1,1.5,5.1,14.8,13.9,26.8,20.4,19.7,26.8,19.5,19.7,21.6
Goiás,1.2,3.4,1.8,19.3,21.5,19.7,23.6,23.4,19.7,22.1,23.4,24.8
Distrito Federal,-0.8,-1.3,1.6,7.5,4.4,7.3,13.5,12.6,7.3,12.5,12.6,13.6
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Indústria",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
