Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 3- Indicadores do Volume de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Janeiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,NOV,DEZ,JAN,NOV,DEZ,JAN,JAN-NOV,JAN-DEZ,JAN-JAN,Até NOV,Até DEZ,Até JAN
Brasil ,0.6,0.3,-0.3,-2.9,-2.7,-1.5,5.3,4.5,-1.5,5.1,4.5,4.6
Rondônia,1.4,-2.4,1,-6.6,-3.5,4.2,12.9,11.1,4.2,12.9,11.1,11.7
Acre,-1.8,-4.1,1.4,-12,-9.4,-6.2,6,4.4,-6.2,6.2,4.4,3.9
Amazonas,1.8,1.9,-5.6,-6.7,-3.7,34.7,-0.1,-0.5,34.7,1.2,-0.5,3.8
Roraima,2.1,0.4,1.9,7.1,4.9,8.7,11.3,10.7,8.7,11.9,10.7,10.8
Pará,-1.8,-0.9,1.6,-1,0,3.5,10.5,9.4,3.5,11,9.4,9.2
Amapá,0.4,-3.9,-3.1,-4.4,-12.1,-12.9,9.5,7,-12.9,10,7,5.1
Tocantins,-5.9,5.2,-3,-1.6,12.1,-1.8,2.8,3.6,-1.8,2.4,3.6,3.3
Maranhão,-1,-0.3,-1.3,-8.7,-6,-5.4,3.3,2.3,-5.4,4.2,2.3,1.6
Piauí,-2.7,-0.8,-1.5,-4.3,-5.7,-1.5,14.9,12.6,-1.5,14.9,12.6,12.4
Ceará,-0.1,-1.9,0.2,1.4,-1.4,3.4,8.2,7.2,3.4,7.8,7.2,8
Rio Grande do Norte,-2.5,4.1,-3.2,-6.2,-2.4,-5.9,3,2.5,-5.9,3,2.5,2.3
Paraíba,-5.4,-1.6,2.6,-8,-11.2,-7.2,3.6,2,-7.2,3.8,2,1.6
Pernambuco,-1.1,-1.9,3.7,9.2,7.5,15.4,19.2,17.9,15.4,18.1,17.9,19.1
Alagoas,-6.2,-3.6,3.7,-6.4,-7.6,-2.3,5.9,4.4,-2.3,5.8,4.4,4.5
Sergipe,-2,-3.5,6.1,-4.1,-8.5,-1.5,7.9,6.1,-1.5,7.9,6.1,5.8
Bahia,-1.8,-2.3,4.1,-1.9,-4.8,4.4,8.8,7.3,4.4,7.3,7.3,8.2
Minas Gerais,1,-1.6,-0.6,-1.4,0.5,-6.1,5.9,5.4,-6.1,5.8,5.4,4.3
Espírito Santo,-0.5,3.4,-0.1,4.3,9.4,4.5,14.1,13.6,4.5,13.7,13.6,13.9
Rio de Janeiro,1.8,-1.2,1.4,-3.7,-4.6,-1.5,3.2,2.3,-1.5,2.6,2.3,2.7
São Paulo,1.3,-0.2,-0.8,-6.8,-6.7,-6.1,2.7,1.7,-6.1,2.6,1.7,1.6
Paraná,1.2,0.8,1.2,-4.3,-4.5,-2.8,2.5,1.8,-2.8,2.6,1.8,1.7
Santa Catarina,0.6,0,1.7,2.7,2.8,4.8,9.3,8.7,4.8,8.8,8.7,9
Rio Grande do Sul,-2,0.4,-1.6,0.1,1.2,-0.5,4.3,4,-0.5,3.3,4,4.8
Mato Grosso do Sul,0.9,0.9,-1.1,5.6,7.3,5.6,12.1,11.6,5.6,12,11.6,11.8
Mato Grosso,-1.1,1,2,-0.1,0.6,7.9,7,6.4,7.9,6.8,6.4,7.1
Goiás,1.6,3.6,-0.4,4.9,8.2,4.1,10.3,10.1,4.1,9.5,10.1,10.8
Distrito Federal,-1.6,-2.2,-0.4,-8.9,-11.3,-8.8,-1.2,-2.2,-8.8,-1.3,-2.2,-1.9
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Indústria",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
