Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 8 - Indicadores de Receita Nominal de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Maio 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,MAR,ABR,MAI,MAR,ABR,MAI,JAN-MAR,JAN-ABR,JAN-MAI,Até MAR,Até ABR,Até MAI
Brasil ,0.7,1.3,1.7,20.5,18.8,15.9,15.7,16.5,16.4,18.7,16.8,15.1
Rondônia,1.3,1.9,0.7,14.6,17,14.7,13.9,14.7,14.7,19.9,16.8,14.4
Acre,-0.5,3.4,-1.4,11.6,15.4,8.1,12.6,13.3,12.1,15.7,13.6,10.4
Amazonas,-0.4,5.7,-2.3,1,8.5,6,20.2,16.8,14.3,15.2,11.2,8.1
Roraima,6.5,-5.9,4,26,19.9,23.6,24.9,23.6,23.6,24.8,22.9,21.6
Pará,2.2,1.4,0.9,26.3,18.1,15.8,19.7,19.3,18.5,21.2,18.7,15.7
Amapá,5.9,-0.2,4,30.6,17.1,3.2,13.9,14.8,12,18.4,14.8,9.1
Tocantins,0.8,0.5,4.7,32.8,14.4,24.6,25.1,22,22.6,20,18,18
Maranhão,0.8,2.8,0.8,15.2,15.3,13.6,12.2,13,13.1,13.7,11.5,9.2
Piauí,5.2,2.2,0.8,24.4,23,18.7,15,17,17.4,24.5,21.8,18.5
Ceará,3.5,7.2,-2.8,35.3,24.4,21.7,23.2,23.6,23.2,23.5,20.8,18.4
Rio Grande do Norte,1.3,6.3,-0.7,16.3,26.2,17.8,10.8,14.6,15.3,16.2,15.3,14.3
Paraíba,3,0.5,2.3,17.6,15.2,16.6,12.4,13.1,13.9,14.7,12.3,11.2
Pernambuco,2.9,-0.7,1.8,12.2,6.6,5.7,14.4,12.4,10.9,27,22.5,18.7
Alagoas,4,2.1,1.7,21.8,28.7,23.4,16.9,19.8,20.6,18.4,17.5,16.3
Sergipe,1.1,2.9,4.5,20.5,20.1,28.8,16.9,17.7,20,17.8,15.7,15.5
Bahia,0.5,1.2,3.2,22.1,12.2,11.1,18.2,16.6,15.4,22.9,19.8,16.7
Minas Gerais,2.7,2.7,1.6,21.3,21.1,20,14.9,16.5,17.2,18.4,17,16.1
Espírito Santo,10.7,-3.6,-1.8,25.5,21.1,14.7,19.6,20,18.8,26,23.2,21
Rio de Janeiro,1.8,3.6,-1,11.4,16.2,12.3,10.5,12,12,13.5,11.9,10.4
São Paulo,0.5,1.1,1,19.4,18.6,14.2,13.1,14.5,14.4,15.8,14,12.2
Paraná,1.1,1.6,3,15.8,14.6,13.3,13.5,13.8,13.7,17.1,15,13.9
Santa Catarina,1.8,2.2,3,26.8,24.6,23.4,24.1,24.2,24.1,25.8,24.1,23.2
Rio Grande do Sul,10.4,4.8,3.1,26.4,20.2,17.7,18.7,19.1,18.8,21.3,19.3,18
Mato Grosso do Sul,1.4,3.1,0.7,26.8,26.5,23.7,25.1,25.5,25.1,28.1,26.5,25.8
Mato Grosso,3.6,2.4,-0.2,24.1,28.6,24,21.8,23.5,23.6,22,21.6,21.5
Goiás,7.9,-0.6,-0.7,36,20.1,19,24.3,23.2,22.3,26.9,24.2,22.6
Distrito Federal,-0.1,1.5,5.7,20.6,19.1,17.9,13.7,15.1,15.7,15.3,13.9,12.6
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
