Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 3- Indicadores do Volume de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Abril 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,FEV,MAR,ABR,FEV,MAR,ABR,JAN-FEV,JAN-MAR,JAN-ABR,Até FEV,Até MAR,Até ABR
Brasil ,2.4,0.1,0.7,0.3,5.3,1.5,-0.6,1.4,1.4,4.8,4.5,2.2
Rondônia,5.3,-1.1,3.4,1.9,2.5,3.6,1.7,2,2.4,11,8.7,5.3
Acre,8.2,-1.9,1.6,11.7,0.6,3.3,2.2,1.6,2.1,5.4,3.8,1.5
Amazonas,1.4,-1.8,6.4,16.7,-9.7,-2.4,25.2,10.7,6.9,6.1,3.2,-0.6
Roraima,3.6,0.6,-2.5,13.1,12.2,5.2,10.6,11.1,9.6,11.2,10.1,8.2
Pará,2.8,0,0.6,7.7,13.6,4.4,5.5,8.2,7.2,9.4,9.5,6.8
Amapá,9.1,2.9,1.1,-1.9,14.9,1.1,-7.8,-1,-0.4,4.3,4.4,0.6
Tocantins,4.1,-0.5,-0.6,8,15.7,-2.5,3.9,7.9,5,4.4,5.7,3.2
Maranhão,3.6,-0.5,1,1.6,1.5,0.6,-2.2,-0.9,-0.5,1.4,0,-2.3
Piauí,5.8,3.6,0.5,-3.1,10.2,6.4,-2.4,1.8,2.9,11.3,10.5,7.4
Ceará,0.4,2.6,6.6,1.5,20.5,9.2,2.8,8.6,8.7,8.3,9.3,6.2
Rio Grande do Norte,2.2,0.3,3.4,-5.2,2.3,9.9,-5.6,-2.9,0.2,1.9,1.5,0.4
Paraíba,2.7,0.6,-0.9,-1.8,2,-2.2,-4.7,-2.5,-2.4,1.8,1.1,-1.8
Pernambuco,-13.2,0.6,-1.3,-7.8,-3.9,-10.2,2.6,0.4,-2.3,17.4,15,10
Alagoas,3.2,2.4,0.8,2.5,6.3,11.1,-0.1,2.1,4.3,5,4.4,3
Sergipe,3.1,-0.6,0.8,4,5.2,0.5,1.1,2.5,2,6.1,4.9,1.9
Bahia,-2.5,-0.9,-0.2,-4.4,6.3,-5.8,0.2,2.2,0.1,8.2,8,4.5
Minas Gerais,4.3,0.8,1.1,2.5,6.1,4.2,-2,0.7,1.6,4.3,4.1,2.4
Espírito Santo,-2.6,12.3,-5.3,-0.5,10.3,3.5,2.4,5.3,4.8,13.2,11.9,8.8
Rio de Janeiro,0.7,0.5,1.2,-0.7,-1.6,0.6,-1.1,-1.3,-0.8,3.3,2.4,0.3
São Paulo,2.7,1.6,0.3,-1.8,4.8,1.3,-3.6,-0.8,-0.3,1.7,1.9,-0.2
Paraná,0.3,0.9,-1.1,-3.1,-0.4,-3.6,-3,-2.2,-2.5,1.6,0.7,-1.6
Santa Catarina,1.6,-0.1,-0.2,7.7,8.3,4.5,6.1,6.8,6.3,9.6,8.4,6.4
Rio Grande do Sul,2.5,0.5,1.9,3.2,12.3,2.8,1.4,5.2,4.5,5.8,6.2,3.7
Mato Grosso do Sul,7.4,0.6,1.1,11.6,8.8,6.6,6.9,7.6,7.3,12,11.2,9.2
Mato Grosso,2.8,1.2,1,2.8,5.9,7.4,3.1,4.1,4.9,6.9,6.1,5.1
Goiás,-1.8,7.2,-2.3,1.4,19.4,1.9,2.7,8.3,6.6,10.7,11.9,8.7
Distrito Federal,4.2,-0.9,1.1,-3.2,4.3,-0.4,-6.2,-2.7,-2.1,-1.3,-1.1,-2.8
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
