Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 2 - Indicadores do Volume de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Abril 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,FEV,MAR,ABR,FEV,MAR,ABR,JAN-FEV,JAN-MAR,JAN-ABR,Até FEV,Até MAR,Até ABR
Brasil ,1.4,1.4,0.9,1.3,4.9,4.5,-0.2,1.6,2.3,1.7,1.9,0.8
Rondônia,7.7,-0.3,0.9,4.3,7.8,8.3,5.4,6.2,6.8,8.6,7.3,4.4
Acre,5.8,-0.4,2.6,16.4,2.8,7.8,4.3,3.8,4.8,4.7,3.7,2
Amazonas,1.2,-3.7,4.4,21.7,-6.9,-2,28.5,13.8,9.3,5.4,3.2,0.2
Roraima,4.8,2.9,-4.5,17.9,11.8,9.3,12.4,12.2,11.5,7.5,6.9,5.6
Pará,2.3,5.2,-4.4,9.5,16.2,8.2,6.2,9.4,9.1,6.9,7.4,5.7
Amapá,9.2,2.6,-0.8,0.4,18,3.4,-5.5,1.4,1.9,5.9,6.4,3
Tocantins,-3.8,-0.7,2.6,-2.3,6.7,0.4,-1.6,1.2,1,-6.3,-4.1,-4.1
Maranhão,4.8,1.1,0.9,2.1,2.9,4.2,-1.4,0,1.1,-2.1,-2.7,-4.1
Piauí,2,4.2,0.9,-5.2,5.7,11.7,-2.2,0.4,3.1,8,7.2,5.7
Ceará,3,-0.8,3.1,1.3,19.8,18.5,-1.8,4.6,8,-2.7,-0.9,-1
Rio Grande do Norte,4.5,2.2,4,-2.3,1.7,8.2,-5.1,-2.8,-0.1,-1,-1,-1.5
Paraíba,2.3,2.6,0.5,-2.7,0.5,4.5,-4.9,-3.2,-1.3,-3.9,-3.8,-4.6
Pernambuco,1.1,7.6,-7.7,-7.4,2.2,-7.6,-7.6,-4.4,-5.2,-0.2,-0.4,-3.2
Alagoas,1.9,1.7,3.8,1.4,3.4,15.1,1.2,1.9,5.1,0.3,0.3,0
Sergipe,2,1.6,1,-6.9,-4.3,6,-8,-6.7,-3.7,-4.4,-5,-5.7
Bahia,2.7,-1,-0.3,-3.4,5.7,-4.9,-5.5,-1.9,-2.7,-0.8,-0.3,-2.8
Minas Gerais,4.5,1.6,1.2,2,4.5,6.6,-2.8,-0.4,1.3,1.7,1.7,0.8
Espírito Santo,2.3,1.5,0.3,9.7,10.7,14.9,8.2,9.1,10.5,7.8,7.8,7.2
Rio de Janeiro,0.5,-0.4,-1.1,0.9,-3.5,-1.2,-0.1,-1.3,-1.3,0.4,-0.4,-2
São Paulo,1.5,2.5,-1.2,-0.2,3.2,4.5,-0.7,0.6,1.6,2.2,2.5,1.3
Paraná,1.5,0.7,0.8,-0.5,3.6,3.9,-1.3,0.4,1.3,-0.1,0.3,-0.5
Santa Catarina,1.8,1.3,0.2,1.6,3.5,3.3,1,1.8,2.2,1.9,1.6,0.8
Rio Grande do Sul,1.2,9.7,0.6,8.7,17.9,9.9,6.9,10.7,10.4,5.6,7.2,6.3
Mato Grosso do Sul,5.9,1.6,0.4,7.1,9.2,7.8,3.7,5.5,6.1,6.1,6.1,5.1
Mato Grosso,2.3,5.3,0.4,2.9,11.3,11.9,4.3,6.8,8.1,1.2,2.1,2.3
Goiás,2.3,2.8,-1.1,-2,13.4,1.4,-3.7,1.8,1.7,-0.5,0.9,-0.8
Distrito Federal,5,-0.9,0.4,2.2,19.6,5.4,-3.2,4,4.3,-3.6,-1,-1.6
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
