Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 8 - Indicadores de Receita Nominal de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Abril 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,FEV,MAR,ABR,FEV,MAR,ABR,JAN-FEV,JAN-MAR,JAN-ABR,Até FEV,Até MAR,Até ABR
Brasil ,3.5,0.7,1.3,14.5,20.5,18.7,13.2,15.7,16.5,18.8,18.7,16.8
Rondônia,5.9,1.3,1.4,13.9,14.6,15.9,13.6,13.9,14.4,21.9,19.9,16.7
Acre,7.5,-0.4,3.4,21.7,11.6,15.4,13.2,12.6,13.3,17.2,15.7,13.6
Amazonas,3.5,-0.3,6,25.3,1,8.6,33.6,20.2,16.8,18.3,15.2,11.3
Roraima,4.2,6.8,-6.4,26.6,26,19.9,24.3,24.9,23.6,26,24.8,22.9
Pará,3.8,2.1,1.4,18.8,26.3,18.1,16.3,19.7,19.3,20.9,21.2,18.7
Amapá,9.6,5.6,-0.4,12.6,30.6,17,6.5,13.9,14.7,17.8,18.4,14.8
Tocantins,4,0.5,0.6,25.3,32.8,14.5,20.9,25.1,22.1,17.7,20,18
Maranhão,4.4,1,2.7,14.6,15.2,15.2,10.6,12.2,13,15,13.7,11.5
Piauí,3.7,4.9,1.2,8.2,24.4,22.2,10.3,15,16.8,25.3,24.5,21.7
Ceará,1.5,3.5,7.4,15.8,35.3,24.6,17.3,23.2,23.6,22.2,23.5,20.8
Rio Grande do Norte,3.1,3.3,4.3,8.4,16.3,26,8,10.8,14.6,16.6,16.2,15.3
Paraíba,3.6,2.9,0.4,13.1,17.6,15.2,9.8,12.4,13.1,15,14.7,12.3
Pernambuco,-6.6,2.9,-0.9,6.4,12.2,6.4,15.6,14.4,12.3,28.9,27,22.5
Alagoas,3.8,3.8,1.9,17,21.8,28.7,14.3,16.9,19.8,18.6,18.4,17.5
Sergipe,4.1,0.7,2.6,17.8,20.5,19.8,14.9,16.9,17.6,18.6,17.8,15.6
Bahia,-0.3,0.2,1.2,12.2,22.1,12.2,16.3,18.2,16.6,22.9,22.9,19.8
Minas Gerais,5.8,2.4,2.4,16.7,21.3,21.1,11.5,14.9,16.5,18.4,18.4,17
Espírito Santo,-0.8,10.9,-2.9,13.9,25.5,21,16.3,19.6,20,27,26,23.2
Rio de Janeiro,1.9,1.9,4.3,11.4,11.4,16.2,10,10.5,11.9,14.1,13.5,11.9
São Paulo,4.7,0.5,1.1,12,19.4,18.7,9.9,13.1,14.5,15.5,15.8,14.1
Paraná,1.9,0.9,1.3,12.7,15.8,14.6,12.3,13.5,13.8,17.7,17.1,15
Santa Catarina,3.3,1.5,1.4,24.8,26.8,23.4,22.7,24.1,23.9,26.6,25.8,24
Rio Grande do Sul,2.3,10.7,3.2,16.2,26.4,20.2,14.5,18.7,19.1,20.8,21.3,19.3
Mato Grosso do Sul,7.5,1.5,3,28.7,26.8,26.5,24.2,25.1,25.5,28.5,28.1,26.5
Mato Grosso,4.4,3.7,2.2,19.2,24.1,27.9,20.5,21.8,23.3,22.1,22,21.6
Goiás,0.6,16.8,-9.1,17,36,20.2,18.3,24.3,23.2,25.2,26.9,24.2
Distrito Federal,5.4,-0.5,1.2,13.3,20.6,19.1,10.1,13.7,15.1,14.8,15.3,13.9
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
