Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 2 - Indicadores do Volume de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Maio 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,MAR,ABR,MAI,MAR,ABR,MAI,JAN-MAR,JAN-ABR,JAN-MAI,Até MAR,Até ABR,Até MAI
Brasil ,1.4,0.8,0.1,4.9,4.5,-0.2,1.6,2.3,1.8,1.9,0.7,-0.4
Rondônia,-0.6,0.9,-2.8,7.8,8.4,1.1,6.2,6.8,5.5,7.3,4.4,2.2
Acre,-0.5,2.4,-1.6,2.8,7.8,0,3.8,4.8,3.7,3.7,2,-0.2
Amazonas,-3.6,4.5,1,-6.9,-2.2,-4.3,13.8,9.2,6,3.2,0.2,-2.5
Roraima,2.8,-4.3,3.1,11.8,9.3,11,12.2,11.5,11.4,6.9,5.6,5
Pará,5.5,-4.7,0.1,16.2,8.2,4.4,9.4,9.1,8.1,7.4,5.7,3.4
Amapá,2.7,-0.5,2.4,18,3.9,-10.6,1.4,2.1,-1,6.4,3,-2.5
Tocantins,-0.8,2.5,-2.1,6.7,0.4,-4.7,1.2,1,-0.3,-4.1,-4.1,-4.3
Maranhão,1.1,0.9,0.2,2.9,4.2,1.5,0,1.1,1.2,-2.7,-4,-5.4
Piauí,4.1,1.2,-0.5,5.7,11.7,4.1,0.4,3.1,3.3,7.2,5.7,3.3
Ceará,-0.9,2.9,-1.5,19.8,18.1,6.1,4.6,7.9,7.5,-0.9,-1,-2.3
Rio Grande do Norte,1.8,4.7,-2.3,1.7,8.2,0.6,-2.8,-0.1,0,-1,-1.5,-2.4
Paraíba,2.6,0.5,-0.2,0.5,4.5,0,-3.2,-1.3,-1,-3.8,-4.6,-5.3
Pernambuco,2.5,-2.5,1.6,2.2,-7.4,-7,-4.4,-5.2,-5.5,-0.4,-3.2,-5.4
Alagoas,1.8,4.1,2.1,3.4,15.1,9.7,1.9,5.1,6,0.3,0,-0.6
Sergipe,1.9,2.4,1.3,-4.3,6.2,1.2,-6.7,-3.7,-2.7,-5,-5.6,-6.3
Bahia,-1.1,-0.2,1.6,5.7,-4.9,-7.4,-1.9,-2.7,-3.7,-0.3,-2.8,-5.3
Minas Gerais,2.3,1.4,3.6,4.5,6.6,4.5,-0.4,1.3,2,1.7,0.8,0.3
Espírito Santo,1.5,0.3,0.7,10.7,14.9,6.7,9.1,10.5,9.7,7.8,7.2,6.7
Rio de Janeiro,-0.4,-0.9,1.1,-3.5,-1.2,-3.6,-1.3,-1.3,-1.8,-0.4,-2,-3.5
São Paulo,2.7,-1.5,0.3,3.2,4.4,-1.7,0.6,1.6,0.9,2.5,1.3,-0.2
Paraná,0.7,0.8,0.8,3.6,3.9,-2.2,0.4,1.3,0.5,0.3,-0.5,-0.9
Santa Catarina,1.3,0.2,0.3,3.5,3.4,-1.1,1.8,2.2,1.5,1.6,0.8,0.5
Rio Grande do Sul,10.5,0.7,3.1,17.9,9.9,4,10.7,10.4,9,7.2,6.3,5.4
Mato Grosso do Sul,1.8,0.5,1.8,9.2,7.7,7.9,5.5,6.1,6.5,6.1,5.1,5.1
Mato Grosso,5.4,0.2,-1.9,11.3,12,6.1,6.8,8.1,7.6,2.1,2.3,2.8
Goiás,2.7,-1.3,-0.8,13.4,1.4,-1.4,1.8,1.7,1,0.9,-0.8,-1.7
Distrito Federal,-0.5,1.1,1.3,19.6,5.4,1.8,4,4.3,3.8,-1,-1.6,-2.7
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
