Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 3- Indicadores do Volume de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Maio 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,MAR,ABR,MAI,MAR,ABR,MAI,JAN-MAR,JAN-ABR,JAN-MAI,Até MAR,Até ABR,Até MAI
Brasil ,-0.3,0.5,0.2,5.3,1.6,-0.7,1.4,1.5,1,4.5,2.2,0.3
Rondônia,-0.5,3.7,0.5,2.5,4.4,2,2,2.6,2.5,8.7,5.4,2.9
Acre,-2,1.5,-2.2,0.6,3.3,-3.5,1.6,2.1,0.8,3.8,1.5,-1.6
Amazonas,-1.9,6.2,-3.1,-9.7,-2.5,-4.8,10.7,6.9,4.1,3.2,-0.7,-3.6
Roraima,0.6,-2.5,1.1,12.2,5.2,8.2,11.1,9.6,9.3,10.1,8.2,6.9
Pará,-0.2,0.6,-0.2,13.6,4.3,2.1,8.2,7.2,6.1,9.5,6.8,3.7
Amapá,3.5,0.5,2,14.9,1,-11.1,-1,-0.5,-3,4.4,0.6,-5
Tocantins,-0.3,-0.6,3.6,15.7,-2.6,7.2,7.9,5,5.5,5.7,3.2,2.6
Maranhão,-0.6,1,1.1,1.5,0.7,-0.6,-0.9,-0.5,-0.5,0,-2.3,-4.6
Piauí,3.7,1,-0.3,10.2,7.3,3.6,1.8,3.1,3.2,10.5,7.5,4.2
Ceará,2.4,6.6,-5.3,20.5,9,5.9,8.6,8.7,8.1,9.3,6.2,3.6
Rio Grande do Norte,0.2,4.3,-3,2.3,10,1.9,-2.9,0.2,0.6,1.5,0.4,-0.8
Paraíba,0.7,-1,2.2,2,-2.2,-0.7,-2.5,-2.4,-2.1,1.1,-1.8,-3.4
Pernambuco,0.5,-1.2,0.7,-3.9,-10.1,-10.9,0.4,-2.3,-4.2,15,10,5.8
Alagoas,2.4,0.8,0.9,6.3,11.1,5.9,2.1,4.3,4.6,4.4,3,1.5
Sergipe,-0.7,1.7,2.5,5.2,0.6,11.2,2.5,2,3.8,4.9,1.9,1.3
Bahia,-0.7,-0.3,1.9,6.3,-5.8,-6.6,2.2,0.1,-1.4,8,4.5,1.1
Minas Gerais,1.2,1.5,2.1,6.1,4.2,3.6,0.7,1.6,2,4.1,2.4,1.4
Espírito Santo,12.3,-5.7,-0.5,10.3,3.5,-2.3,5.3,4.8,3.3,11.9,8.8,6.3
Rio de Janeiro,0.4,1.1,-1.6,-1.6,0.6,-2.6,-1.3,-0.8,-1.2,2.4,0.3,-1.6
São Paulo,1.8,0.1,-0.5,4.8,1.2,-2.9,-0.8,-0.3,-0.9,1.9,-0.2,-2.4
Paraná,1,-1,2.1,-0.4,-3.5,-3.7,-2.2,-2.5,-2.7,0.7,-1.6,-2.6
Santa Catarina,0,0.3,1.3,8.3,5.5,4.8,6.8,6.5,6.2,8.4,6.5,5.6
Rio Grande do Sul,0.7,2.1,3.5,12.3,2.8,1.8,5.2,4.5,3.9,6.2,3.7,2.6
Mato Grosso do Sul,0.5,1,-0.9,8.8,6.6,4.9,7.6,7.3,6.8,11.2,9.2,8.2
Mato Grosso,1.2,1.4,-0.7,5.9,8.2,6,4.1,5.1,5.3,6.1,5.2,4.8
Goiás,7.1,-3.2,-1.2,19.4,1.6,2.3,8.3,6.5,5.6,11.9,8.7,6.9
Distrito Federal,-0.6,1.5,2.3,4.3,-0.4,0,-2.7,-2.1,-1.7,-1.1,-2.8,-4.2
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
