Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 2 - Indicadores do Volume de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Janeiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,NOV,DEZ,JAN,NOV,DEZ,JAN,JAN-NOV,JAN-DEZ,JAN-JAN,Até NOV,Até DEZ,Até JAN
Brasil ,0.4,-1.9,0.8,-4.2,-2.9,-1.9,1.9,1.4,-1.9,1.9,1.4,1.3
Rondônia,-0.8,-3.7,1.4,-10.8,-4.5,6.5,8.5,7,6.5,8.4,7,8.2
Acre,0.3,-4.2,-1.2,-8.4,-4.7,-5.9,4.2,3.3,-5.9,4.3,3.3,2.5
Amazonas,1.8,-0.9,-1.7,-4.7,-1.3,35.3,-1.2,-1.2,35.3,-0.2,-1.2,2.8
Roraima,4.3,-0.2,1.8,4,3,7.5,6.5,6.2,7.5,7.4,6.2,6.2
Pará,0.1,0.1,1.4,-2.9,0.5,3.3,7.9,7.1,3.3,8.5,7.1,6.5
Amapá,0.9,-3.5,-3.7,-4.8,-8.5,-10.8,10.9,8.5,-10.8,11.1,8.5,6.6
Tocantins,-1.3,2.4,0.8,-4.4,3.1,-1,-8.3,-7.3,-1,-8.4,-7.3,-7.6
Maranhão,-1.5,-1.7,0.2,-11.7,-5.4,-4.6,-1.4,-1.8,-4.6,-0.4,-1.8,-2.3
Piauí,-2.9,1.1,-0.1,-4.8,-3.4,0.8,11.7,10,0.8,12,10,9.5
Ceará,1.1,-1.6,-0.4,-7.8,-8.8,-5.6,-2.6,-3.3,-5.6,-2,-3.3,-3.3
Rio Grande do Norte,-2.1,1.7,-1.8,-9.6,-5.1,-7.6,-0.3,-0.8,-7.6,-0.1,-0.8,-1.2
Paraíba,-2.8,-0.5,1.6,-10.9,-9.3,-6.9,-3.4,-4,-6.9,-3.4,-4,-4.3
Pernambuco,-0.9,-5.1,2.5,-9.5,-11.5,-7.6,2.9,1.3,-7.6,3.1,1.3,0.5
Alagoas,-0.9,-2.2,2.8,-9.3,-8,1.2,-0.1,-1,1.2,0.3,-1,-0.5
Sergipe,-2.3,-0.4,-0.1,-14.9,-11.2,-8.9,-3,-3.8,-8.9,-2.6,-3.8,-4.3
Bahia,-2.4,-1.8,2.3,-14,-12.7,-7.7,1,-0.6,-7.7,0,-0.6,-1
Minas Gerais,0.7,-1.8,0,-2.3,-0.4,-7,3.6,3.1,-7,3.5,3.1,1.6
Espírito Santo,2.3,0.8,1.8,3.4,3.7,7.2,7.2,6.8,7.2,7.6,6.8,7.1
Rio de Janeiro,2.1,-2.3,3,-6.1,-6.1,-1,0.2,-0.5,-1,0.1,-0.5,-0.3
São Paulo,1.1,-0.7,-0.1,-3.1,-2.5,-2.4,2.8,2.2,-2.4,2.6,2.2,2
Paraná,0.5,0.2,0.3,-4.1,-2.4,-2.1,-0.2,-0.4,-2.1,-0.1,-0.4,-0.5
Santa Catarina,-0.5,0.9,0.1,-5,-0.8,0.8,1.8,1.5,0.8,2.3,1.5,1.5
Rio Grande do Sul,-1.1,-1,-0.2,2.4,3.8,5,2.8,2.9,5,1.8,2.9,4
Mato Grosso do Sul,-1.8,-0.6,-0.8,0,4.1,0.4,5.8,5.6,0.4,5.8,5.6,5.6
Mato Grosso,3.6,-4.1,0.6,-0.4,-1.3,6.8,-0.6,-0.6,6.8,-0.1,-0.6,0.5
Goiás,0.7,0.6,0.3,-5.5,-2.3,-5.1,-0.3,-0.5,-5.1,-0.5,-0.5,-0.6
Distrito Federal,3.1,-4.1,-0.7,-4.7,-7,-7.8,-4.8,-5,-7.8,-4.9,-5,-5
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Indústria",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
