,registro,classe_comercio,ano_mes,m3mensal
0,1,1. Combustíveis e lubrificantes,202205,72.40169
1,2,"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",202205,103.06194
2,3,2.1. Hipermercados e supermercados,202205,105.38202
3,4,"3. Tecidos, vestuário e calçados",202205,79.35732
4,5,4. Móveis e eletrodomésticos,202205,78.85918
5,6,4.1. Móveis,202205,82.32101
6,7,4.2. Eletrodomésticos,202205,76.54104
7,8,"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",202205,136.96416
8,9,"6. Livros, jornais, revistas e papelaria",202205,23.60044
9,10,"7. Equipamentos e materiais para escritório, informática e comunicação",202205,68.011
10,11,8. Outros artigos de uso pessoal e doméstico,202205,118.4073
11,12,Comércio Varejista Ampliado (2),202205,97.17184
12,13,"9. Veículos, motocicletas, partes e peças",202205,90.58521
13,14,10. Material de construção,202205,112.56947
14,15,,202205,nan
