,registro,UF,ano_mes,m3mensal
0,1,Brasil ,202201,-1.9
1,2,Rondônia,202201,6.5
2,3,Acre,202201,-5.9
3,4,Amazonas,202201,35.3
4,5,Roraima,202201,7.5
5,6,Pará,202201,3.3
6,7,Amapá,202201,-10.8
7,8,Tocantins,202201,-1
8,9,Maranhão,202201,-4.6
9,10,Piauí,202201,0.8
10,11,Ceará,202201,-5.6
11,12,Rio Grande do Norte,202201,-7.6
12,13,Paraíba,202201,-6.9
13,14,Pernambuco,202201,-7.6
14,15,Alagoas,202201,1.2
15,16,Sergipe,202201,-8.9
16,17,Bahia,202201,-7.7
17,18,Minas Gerais,202201,-7
18,19,Espírito Santo,202201,7.2
19,20,Rio de Janeiro,202201,-1
20,21,São Paulo,202201,-2.4
21,22,Paraná,202201,-2.1
22,23,Santa Catarina,202201,0.8
23,24,Rio Grande do Sul,202201,5
24,25,Mato Grosso do Sul,202201,0.4
25,26,Mato Grosso,202201,6.8
26,27,Goiás,202201,-5.1
27,28,Distrito Federal,202201,-7.8
