,registro,UF,ano_mes,m3mensal
0,1,Brasil ,202201,-1.5
1,2,Rondônia,202201,4.2
2,3,Acre,202201,-6.2
3,4,Amazonas,202201,34.7
4,5,Roraima,202201,8.7
5,6,Pará,202201,3.5
6,7,Amapá,202201,-12.9
7,8,Tocantins,202201,-1.8
8,9,Maranhão,202201,-5.4
9,10,Piauí,202201,-1.5
10,11,Ceará,202201,3.4
11,12,Rio Grande do Norte,202201,-5.9
12,13,Paraíba,202201,-7.2
13,14,Pernambuco,202201,15.4
14,15,Alagoas,202201,-2.3
15,16,Sergipe,202201,-1.5
16,17,Bahia,202201,4.4
17,18,Minas Gerais,202201,-6.1
18,19,Espírito Santo,202201,4.5
19,20,Rio de Janeiro,202201,-1.5
20,21,São Paulo,202201,-6.1
21,22,Paraná,202201,-2.8
22,23,Santa Catarina,202201,4.8
23,24,Rio Grande do Sul,202201,-0.5
24,25,Mato Grosso do Sul,202201,5.6
25,26,Mato Grosso,202201,7.9
26,27,Goiás,202201,4.1
27,28,Distrito Federal,202201,-8.8
