,registro,UF,ano_mes,ano,mes,m3mensal
0,1,Brasil ,202205,2022,05,15.9
1,2,Rondônia,202205,2022,05,14.7
2,3,Acre,202205,2022,05,8.1
3,4,Amazonas,202205,2022,05,6
4,5,Roraima,202205,2022,05,23.6
5,6,Pará,202205,2022,05,15.8
6,7,Amapá,202205,2022,05,3.2
7,8,Tocantins,202205,2022,05,24.6
8,9,Maranhão,202205,2022,05,13.6
9,10,Piauí,202205,2022,05,18.7
10,11,Ceará,202205,2022,05,21.7
11,12,Rio Grande do Norte,202205,2022,05,17.8
12,13,Paraíba,202205,2022,05,16.6
13,14,Pernambuco,202205,2022,05,5.7
14,15,Alagoas,202205,2022,05,23.4
15,16,Sergipe,202205,2022,05,28.8
16,17,Bahia,202205,2022,05,11.1
17,18,Minas Gerais,202205,2022,05,20
18,19,Espírito Santo,202205,2022,05,14.7
19,20,Rio de Janeiro,202205,2022,05,12.3
20,21,São Paulo,202205,2022,05,14.2
21,22,Paraná,202205,2022,05,13.3
22,23,Santa Catarina,202205,2022,05,23.4
23,24,Rio Grande do Sul,202205,2022,05,17.7
24,25,Mato Grosso do Sul,202205,2022,05,23.7
25,26,Mato Grosso,202205,2022,05,24
26,27,Goiás,202205,2022,05,19
27,28,Distrito Federal,202205,2022,05,17.9
