,registro,UF,ano_mes,m3mensal
0,1,Brasil ,202202,0.3
1,2,Rondônia,202202,1.8
2,3,Acre,202202,11.6
3,4,Amazonas,202202,16.5
4,5,Roraima,202202,13
5,6,Pará,202202,7.9
6,7,Amapá,202202,-2
7,8,Tocantins,202202,7.3
8,9,Maranhão,202202,1.4
9,10,Piauí,202202,-3
10,11,Ceará,202202,1.5
11,12,Rio Grande do Norte,202202,-5.2
12,13,Paraíba,202202,-1.9
13,14,Pernambuco,202202,-8
14,15,Alagoas,202202,2.5
15,16,Sergipe,202202,3.9
16,17,Bahia,202202,-4.4
17,18,Minas Gerais,202202,2.5
18,19,Espírito Santo,202202,0
19,20,Rio de Janeiro,202202,-0.6
20,21,São Paulo,202202,-1.9
21,22,Paraná,202202,-2.3
22,23,Santa Catarina,202202,7.7
23,24,Rio Grande do Sul,202202,3.3
24,25,Mato Grosso do Sul,202202,11.6
25,26,Mato Grosso,202202,3.3
26,27,Goiás,202202,1.7
27,28,Distrito Federal,202202,-3
