,registro,UF,ano_mes,m3mensal
0,1,Brasil ,202203,4
1,2,Rondônia,202203,8
2,3,Acre,202203,2.8
3,4,Amazonas,202203,-6.8
4,5,Roraima,202203,11.9
5,6,Pará,202203,16.1
6,7,Amapá,202203,17.9
7,8,Tocantins,202203,6.7
8,9,Maranhão,202203,2.8
9,10,Piauí,202203,5.7
10,11,Ceará,202203,20.4
11,12,Rio Grande do Norte,202203,1.7
12,13,Paraíba,202203,0.3
13,14,Pernambuco,202203,1.7
14,15,Alagoas,202203,3.6
15,16,Sergipe,202203,-4.4
16,17,Bahia,202203,5.7
17,18,Minas Gerais,202203,4.3
18,19,Espírito Santo,202203,10
19,20,Rio de Janeiro,202203,-3.5
20,21,São Paulo,202203,2.4
21,22,Paraná,202203,3.6
22,23,Santa Catarina,202203,3.4
23,24,Rio Grande do Sul,202203,10.9
24,25,Mato Grosso do Sul,202203,8.7
25,26,Mato Grosso,202203,5.3
26,27,Goiás,202203,13.3
27,28,Distrito Federal,202203,19.6
